UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.415#pm0.197, #Delta#sigma_{MC,Data}=-0.322#pm0.125
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.637#pm0.236, #Delta#sigma_{MC,Data}=-0.770#pm0.161
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=1.622#pm0.009, #Delta#sigma_{MC,Data}=1.170#pm0.005
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.604#pm0.146, #Delta#sigma_{MC,Data}=-0.314#pm0.103
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-1.323#pm0.338, #Delta#sigma_{MC,Data}=-2.563#pm0.222
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.135#pm0.472, #Delta#sigma_{MC,Data}=-4.860#pm0.345
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=1.622#pm0.009, #Delta#sigma_{MC,Data}=1.170#pm0.005
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.146#pm0.113, #Delta#sigma_{MC,Data}=0.090#pm0.088
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.877#pm0.264, #Delta#sigma_{MC,Data}=-0.420#pm0.173
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to1p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.964#pm0.338, #Delta#sigma_{MC,Data}=-1.002#pm0.226
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.078#pm0.000, #Delta#sigma_{MC,Data}=0.076#pm0.000
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.007#pm0.015, #Delta#sigma_{MC,Data}=-0.068#pm0.010
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.084#pm0.042, #Delta#sigma_{MC,Data}=-0.183#pm0.023
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.346#pm0.060, #Delta#sigma_{MC,Data}=-0.340#pm0.035
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.078#pm0.000, #Delta#sigma_{MC,Data}=0.076#pm0.000
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.009#pm0.014, #Delta#sigma_{MC,Data}=-0.048#pm0.011
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.152#pm0.045, #Delta#sigma_{MC,Data}=-0.199#pm0.026
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p3, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.020#pm0.066, #Delta#sigma_{MC,Data}=-0.281#pm0.040
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=12.456#pm0.041, #Delta#sigma_{MC,Data}=-2.562#pm0.007
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.000#pm0.027, #Delta#sigma_{MC,Data}=-0.121#pm0.018
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=-0.004#pm0.063, #Delta#sigma_{MC,Data}=-0.480#pm0.039
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p4, NoFlow): #Delta#mu_{MC,Data}=0.516#pm0.084, #Delta#sigma_{MC,Data}=-0.722#pm0.057
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=12.456#pm0.041, #Delta#sigma_{MC,Data}=-2.562#pm0.007
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.065#pm0.030, #Delta#sigma_{MC,Data}=-0.064#pm0.019
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.190#pm0.075, #Delta#sigma_{MC,Data}=-0.350#pm0.044
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p4, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.086#pm0.101, #Delta#sigma_{MC,Data}=-0.551#pm0.063
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.111#pm0.003, #Delta#sigma_{MC,Data}=0.410#pm0.003
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=-0.119#pm0.046, #Delta#sigma_{MC,Data}=-0.272#pm0.033
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.117#pm0.133, #Delta#sigma_{MC,Data}=-1.106#pm0.085
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p6, NoFlow): #Delta#mu_{MC,Data}=0.849#pm0.182, #Delta#sigma_{MC,Data}=-1.804#pm0.118
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.111#pm0.003, #Delta#sigma_{MC,Data}=0.410#pm0.003
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.090#pm0.044, #Delta#sigma_{MC,Data}=-0.198#pm0.032
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.321#pm0.134, #Delta#sigma_{MC,Data}=-0.645#pm0.081
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p6, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.357#pm0.214, #Delta#sigma_{MC,Data}=-1.098#pm0.135
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.367#pm0.005, #Delta#sigma_{MC,Data}=0.587#pm0.004
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.196#pm0.072, #Delta#sigma_{MC,Data}=-0.409#pm0.049
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=-0.192#pm0.185, #Delta#sigma_{MC,Data}=-2.201#pm0.130
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p8, NoFlow): #Delta#mu_{MC,Data}=0.724#pm0.283, #Delta#sigma_{MC,Data}=-3.802#pm0.199
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=0.367#pm0.005, #Delta#sigma_{MC,Data}=0.587#pm0.004
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.111#pm0.069, #Delta#sigma_{MC,Data}=-0.302#pm0.047
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.444#pm0.166, #Delta#sigma_{MC,Data}=-1.054#pm0.115
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R0p8, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.648#pm0.259, #Delta#sigma_{MC,Data}=-1.944#pm0.185
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.846#pm0.012, #Delta#sigma_{MC,Data}=0.675#pm0.006
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.241#pm0.104, #Delta#sigma_{MC,Data}=-0.461#pm0.076
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.312#pm0.285, #Delta#sigma_{MC,Data}=-3.228#pm0.191
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R1p0, NoFlow): #Delta#mu_{MC,Data}=-0.007#pm0.418, #Delta#sigma_{MC,Data}=-6.183#pm0.290
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.846#pm0.012, #Delta#sigma_{MC,Data}=0.675#pm0.006
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.109#pm0.102, #Delta#sigma_{MC,Data}=-0.383#pm0.073
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.193#pm0.240, #Delta#sigma_{MC,Data}=-1.275#pm0.179
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta1p0to2p0, R1p0, FlowDefaultInRho): #Delta#mu_{MC,Data}=-0.612#pm0.359, #Delta#sigma_{MC,Data}=-2.455#pm0.219
UE Data/MC(#bf{70-100%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.080#pm0.000, #Delta#sigma_{MC,Data}=0.083#pm0.000
UE Data/MC(#bf{50-70%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=-0.019#pm0.014, #Delta#sigma_{MC,Data}=-0.030#pm0.009
UE Data/MC(#bf{40-50%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.150#pm0.037, #Delta#sigma_{MC,Data}=-0.080#pm0.021
UE Data/MC(#bf{30-40%, All-Plane}, AbsEta0p0to2p0, R0p3, NoFlow): #Delta#mu_{MC,Data}=0.202#pm0.048, #Delta#sigma_{MC,Data}=-0.324#pm0.029
